User_UID,Game_Name,Checkout_Number,Checkout_Date,Due_Date
U2025-CYVHZZ,Red Dead Redemption 2,1,2023-10-27,2023-11-24
U2025-CYVHZZ,Red Dead Redemption 2,2,2024-08-23,2024-09-22
U2025-CYVHZZ,Red Dead Redemption 2,3,2023-02-16,2023-03-07
U2025-IMCXVT,The Witcher 3: Wild Hunt,1,2023-04-22,2023-05-07
U2025-IMCXVT,The Witcher 3: Wild Hunt,2,2024-04-05,2024-05-03
U2025-IMCXVT,The Witcher 3: Wild Hunt,3,2023-08-07,2023-08-19
U2025-IMCXVT,Borderlands 2,1,2024-08-06,2024-08-31
U2023-XNUTWE,Red Dead Redemption 2,1,2023-05-27,2023-06-21
U2023-XNUTWE,Red Dead Redemption 2,2,2024-04-01,2024-04-27
U2023-XNUTWE,Left 4 Dead 2,1,2023-05-29,2023-06-23
U2023-XNUTWE,Left 4 Dead 2,2,2024-08-21,2024-09-01
U2023-XNUTWE,Team Fortress 2,1,2023-03-17,2023-04-01
U2024-EUXSWL,Grand Theft Auto V,1,2024-03-30,2024-04-15
U2024-EUXSWL,Grand Theft Auto V,2,2024-02-21,2024-03-18
U2024-EUXSWL,Grand Theft Auto V,3,2023-09-21,2023-10-11
U2024-EUXSWL,Red Dead Redemption 2,1,2024-05-17,2024-06-14
U2024-DRXOES,The Witcher 3: Wild Hunt,1,2023-10-14,2023-10-25
U2024-DRXOES,The Witcher 3: Wild Hunt,2,2023-08-14,2023-08-26
U2024-DRXOES,The Witcher 3: Wild Hunt,3,2023-10-05,2023-10-18
U2024-EXZWSY,Portal,1,2024-05-20,2024-06-06
U2024-EXZWSY,Portal,2,2024-06-05,2024-06-15
U2024-XVYLPI,Life is Strange,1,2024-07-15,2024-08-12
U2024-XVYLPI,Life is Strange,2,2023-10-28,2023-11-19
U2025-NJDYYP,The Witcher 3: Wild Hunt,1,2024-01-26,2024-02-09
U2025-NJDYYP,Portal,1,2024-04-24,2024-05-14
U2025-NJDYYP,Portal,2,2023-09-27,2023-10-13
U2025-URHWSF,Grand Theft Auto V,1,2023-12-08,2024-01-04
U2025-URHWSF,Grand Theft Auto V,2,2024-02-11,2024-03-07
U2025-URHWSF,Grand Theft Auto V,3,2023-03-28,2023-04-13
U2025-ARGJHY,PAYDAY 2,1,2024-01-17,2024-02-14
U2025-ARGJHY,PAYDAY 2,2,2024-05-18,2024-06-16
U2025-ARGJHY,PAYDAY 2,3,2023-05-08,2023-06-02
U2023-LDGZAU,Portal,1,2023-09-28,2023-10-14
U2023-LDGZAU,Portal,2,2023-02-26,2023-03-08
U2023-LDGZAU,BioShock Infinite,1,2024-07-31,2024-08-10
U2023-LDGZAU,Portal 2,1,2024-03-16,2024-03-31
U2023-LDGZAU,Portal 2,2,2023-07-28,2023-08-05
U2025-BQDCTD,Portal,1,2023-05-08,2023-05-28
U2025-BQDCTD,Portal,2,2024-05-28,2024-06-16
U2025-BQDCTD,Portal,3,2023-10-12,2023-11-01
U2025-BQDCTD,Tomb Raider (2013),1,2023-12-19,2024-01-07
U2025-BQDCTD,Tomb Raider (2013),2,2023-01-23,2023-02-22
U2025-BQDCTD,The Elder Scrolls V: Skyrim,1,2024-08-12,2024-09-07
U2021-OXVMAY,Portal,1,2023-08-26,2023-09-15
U2021-OXVMAY,Portal,2,2023-06-28,2023-07-14
U2025-ZWLOMK,Fallout 4,1,2024-07-14,2024-08-13
U2025-ZWLOMK,Fallout 4,2,2023-11-27,2023-12-11
U2022-NUENBR,Red Dead Redemption 2,1,2023-11-19,2023-12-19
U2022-NUENBR,Red Dead Redemption 2,2,2023-04-06,2023-04-17
U2022-NUENBR,Red Dead Redemption 2,3,2023-11-03,2023-11-25
